Geographic Area,Indicator,Sex,2016,2017,2018,2019
Zimbabwe,Out-of-school rate for adolescents of lower secondary school age,Total,,,,19.1
Zimbabwe,Out-of-school rate for adolescents of lower secondary school age,Male,,,,21.8
Zimbabwe,Out-of-school rate for adolescents of lower secondary school age,Female,,,,16.4
Albania,Out-of-school rate for youth of upper secondary school age,Total,,,12.2,
Albania,Out-of-school rate for youth of upper secondary school age,Male,,,12.4,
Albania,Out-of-school rate for youth of upper secondary school age,Female,,,12,
Angola,Out-of-school rate for youth of upper secondary school age,Total,28.5,,,
Angola,Out-of-school rate for youth of upper secondary school age,Male,21.1,,,
Angola,Out-of-school rate for youth of upper secondary school age,Female,35.4,,,
Armenia,Out-of-school rate for youth of upper secondary school age,Total,6.6,,,
Armenia,Out-of-school rate for youth of upper secondary school age,Male,8.7,,,
Armenia,Out-of-school rate for youth of upper secondary school age,Female,4.4,,,
Bangladesh,Out-of-school rate for youth of upper secondary school age,Total,,,,31.4
Bangladesh,Out-of-school rate for youth of upper secondary school age,Male,,,,36.5
Bangladesh,Out-of-school rate for youth of upper secondary school age,Female,,,,26.1
Benin,Out-of-school rate for youth of upper secondary school age,Total,,,58.4,
Benin,Out-of-school rate for youth of upper secondary school age,Male,,,49.9,
Benin,Out-of-school rate for youth of upper secondary school age,Female,,,66.1,
Botswana,Out-of-school rate for youth of upper secondary school age,Total,,32.3,,
Botswana,Out-of-school rate for youth of upper secondary school age,Male,,36.3,,
Botswana,Out-of-school rate for youth of upper secondary school age,Female,,28,,
Brazil,Out-of-school rate for youth of upper secondary school age,Total,,,7.7,
Brazil,Out-of-school rate for youth of upper secondary school age,Male,,,8.4,
Brazil,Out-of-school rate for youth of upper secondary school age,Female,,,6.9,
Chile,Out-of-school rate for youth of upper secondary school age,Total,,2.5,,
Chile,Out-of-school rate for youth of upper secondary school age,Male,,2.5,,
Chile,Out-of-school rate for youth of upper secondary school age,Female,,2.6,,
Ecuador,Out-of-school rate for youth of upper secondary school age,Total,,,,14.8
Ecuador,Out-of-school rate for youth of upper secondary school age,Male,,,,14.5
Ecuador,Out-of-school rate for youth of upper secondary school age,Female,,,,15.1
Georgia,Out-of-school rate for youth of upper secondary school age,Total,,,11.3,
Georgia,Out-of-school rate for youth of upper secondary school age,Male,,,13.6,
Georgia,Out-of-school rate for youth of upper secondary school age,Female,,,8.2,
Guinea,Out-of-school rate for youth of upper secondary school age,Total,58.8,,,
Guinea,Out-of-school rate for youth of upper secondary school age,Male,48.5,,,
Guinea,Out-of-school rate for youth of upper secondary school age,Female,69.1,,,
Jordan,Out-of-school rate for youth of upper secondary school age,Total,,,19.5,
Jordan,Out-of-school rate for youth of upper secondary school age,Male,,,22.5,
Jordan,Out-of-school rate for youth of upper secondary school age,Female,,,16.4,
Kyrgyzstan,Out-of-school rate for youth of upper secondary school age,Total,,,11.4,
Kyrgyzstan,Out-of-school rate for youth of upper secondary school age,Male,,,10.2,
Kyrgyzstan,Out-of-school rate for youth of upper secondary school age,Female,,,12.7,
Lesotho,Out-of-school rate for youth of upper secondary school age,Total,,,35.6,
Lesotho,Out-of-school rate for youth of upper secondary school age,Male,,,43,
Lesotho,Out-of-school rate for youth of upper secondary school age,Female,,,27.5,
Madagascar,Out-of-school rate for youth of upper secondary school age,Total,,,65.7,
Madagascar,Out-of-school rate for youth of upper secondary school age,Male,,,64.9,
Madagascar,Out-of-school rate for youth of upper secondary school age,Female,,,66.6,
Mexico,Out-of-school rate for youth of upper secondary school age,Total,,,24.9,
Mexico,Out-of-school rate for youth of upper secondary school age,Male,,,26,
Mexico,Out-of-school rate for youth of upper secondary school age,Female,,,23.8,
Mongolia,Out-of-school rate for youth of upper secondary school age,Total,,,10.6,
Mongolia,Out-of-school rate for youth of upper secondary school age,Male,,,15.4,
Mongolia,Out-of-school rate for youth of upper secondary school age,Female,,,5.4,
Nepal,Out-of-school rate for youth of upper secondary school age,Total,22.8,,,
Nepal,Out-of-school rate for youth of upper secondary school age,Male,18.3,,,
Nepal,Out-of-school rate for youth of upper secondary school age,Female,26.8,,,
Nigeria,Out-of-school rate for youth of upper secondary school age,Total,,,32.6,
Nigeria,Out-of-school rate for youth of upper secondary school age,Male,,,31.1,
Nigeria,Out-of-school rate for youth of upper secondary school age,Female,,,34.1,
Paraguay,Out-of-school rate for youth of upper secondary school age,Total,,25.8,,
Paraguay,Out-of-school rate for youth of upper secondary school age,Male,,25.7,,
Paraguay,Out-of-school rate for youth of upper secondary school age,Female,,25.9,,
South Africa,Out-of-school rate for youth of upper secondary school age,Total,15.9,,,
South Africa,Out-of-school rate for youth of upper secondary school age,Male,14.8,,,
South Africa,Out-of-school rate for youth of upper secondary school age,Female,17.1,,,
Suriname,Out-of-school rate for youth of upper secondary school age,Total,,,24.2,
Suriname,Out-of-school rate for youth of upper secondary school age,Male,,,30.3,
Suriname,Out-of-school rate for youth of upper secondary school age,Female,,,18,
Thailand,Out-of-school rate for youth of upper secondary school age,Total,21.9,,,
Thailand,Out-of-school rate for youth of upper secondary school age,Male,28.1,,,
Thailand,Out-of-school rate for youth of upper secondary school age,Female,15.4,,,
Tunisia,Out-of-school rate for youth of upper secondary school age,Total,,,26.8,
Tunisia,Out-of-school rate for youth of upper secondary school age,Male,,,32.5,
Tunisia,Out-of-school rate for youth of upper secondary school age,Female,,,20.9,
Zimbabwe,Out-of-school rate for youth of upper secondary school age,Total,,,,51.1
Zimbabwe,Out-of-school rate for youth of upper secondary school age,Male,,,,48.2
Zimbabwe,Out-of-school rate for youth of upper secondary school age,Female,,,,54.3
